Year,Mo,MonthID,Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
1978,12,23748,-0.36,-0.36,-0.36,-0.31,-0.3,-0.31,-0.41,-0.49,-0.39,-0.47,-0.49,-0.47,-0.23,-0.27,-0.2,-0.37,-0.41,-0.36,-0.24,-0.55,0.12,-0.35,-0.21,-0.42,-1.03,-0.94,-1.2
1979,1,23749,-0.33,-0.48,-0.27,-0.48,-0.69,-0.35,-0.18,0,-0.22,-0.37,-0.42,-0.36,-0.54,-0.75,-0.35,-0.08,0.26,-0.15,-0.11,-0.65,0.51,-0.11,-0.08,-0.12,-3.07,-2.25,1.16
1979,2,23750,-0.27,-0.35,-0.24,-0.25,-0.32,-0.21,-0.29,-0.41,-0.27,-0.23,-0.09,-0.27,-0.27,-0.4,-0.16,-0.31,-0.58,-0.27,-1.71,-2.06,-1.32,-0.68,-1.09,-0.49,-1.55,-1.59,-0.21
1979,3,23751,-0.26,-0.31,-0.24,-0.28,-0.25,-0.29,-0.24,-0.44,-0.19,-0.26,-0.3,-0.25,-0.3,-0.25,-0.34,-0.21,-0.5,-0.16,-0.32,-0.26,-0.39,-0.47,-1.2,-0.13,-0.43,-0.15,0.42
1979,4,23752,-0.28,-0.4,-0.24,-0.31,-0.44,-0.23,-0.26,-0.32,-0.25,-0.25,-0.27,-0.24,-0.34,-0.51,-0.19,-0.26,-0.27,-0.26,-0.44,-0.45,-0.42,-0.18,0.42,-0.46,-0.61,-0.28,-0.94
1979,5,23753,-0.27,-0.39,-0.23,-0.36,-0.34,-0.37,-0.18,-0.49,-0.12,-0.34,-0.41,-0.31,-0.35,-0.31,-0.39,-0.13,-0.59,-0.04,-0.44,-0.2,-0.72,0.03,-0.37,0.22,-0.72,-0.6,-1.05
1979,6,23754,-0.26,-0.43,-0.2,-0.35,-0.42,-0.3,-0.18,-0.45,-0.12,-0.22,-0.29,-0.19,-0.38,-0.43,-0.34,-0.19,-0.64,-0.11,-0.49,-0.82,-0.12,-1.15,-1.79,-0.85,-0.51,-0.53,-0.34
1979,7,23755,-0.18,-0.4,-0.09,-0.07,-0.18,0,-0.3,-0.91,-0.17,-0.23,-0.33,-0.2,-0.01,-0.18,0.14,-0.3,-1.21,-0.14,-0.07,-0.22,0.11,-1.09,-2.31,-0.51,-0.04,0.02,-0.76
1979,8,23756,-0.28,-0.38,-0.23,-0.21,-0.24,-0.2,-0.34,-0.69,-0.26,-0.23,-0.18,-0.24,-0.23,-0.29,-0.18,-0.37,-0.97,-0.26,-0.08,-0.15,0,-0.99,-1.53,-0.73,-0.68,-0.31,-0.81
1979,9,23757,-0.16,-0.25,-0.12,-0.16,-0.14,-0.18,-0.15,-0.49,-0.08,-0.19,-0.23,-0.17,-0.15,-0.11,-0.19,-0.13,-0.73,-0.03,0.06,0.18,-0.07,-0.14,-0.62,0.09,0.88,0.95,-0.49
1979,10,23758,-0.01,-0.11,0.03,0.03,-0.08,0.09,-0.05,-0.2,-0.02,-0.07,-0.06,-0.07,0.05,-0.07,0.16,-0.01,-0.34,0.05,0.06,-0.1,0.24,-0.15,-0.66,0.09,0.47,0.67,-0.11
1979,11,23759,-0.13,0.01,-0.18,0.12,0.16,0.1,-0.38,-0.32,-0.39,-0.07,-0.16,-0.04,0.22,0.22,0.23,-0.54,-0.37,-0.58,-0.02,0.39,-0.49,-0.47,-0.43,-0.49,-1.04,-0.45,0.05
